I10/25/2024 3:22:30 PM: Результаты выборки
I10/25/2024 3:27:10 PM: Результаты выборки
I10/25/2024 3:28:03 PM: Результаты выборки
I10/25/2024 3:28:05 PM: Результаты выборки
I10/25/2024 3:29:45 PM: Результаты выборки
I10/25/2024 3:31:16 PM: Результаты выборки
I10/25/2024 3:31:17 PM: Результаты выборки
I10/25/2024 3:31:17 PM: Результаты выборки
I10/25/2024 3:32:40 PM: Результаты выборки
I10/25/2024 3:33:00 PM: Результаты выборки
I10/25/2024 3:34:38 PM: Результаты выборки
I10/25/2024 3:51:56 PM: Результаты выборки
I10/25/2024 3:52:19 PM: Результаты выборки
I10/25/2024 3:52:20 PM: Результаты выборки
I10/25/2024 5:22:19 PM: Результаты выборки
I10/25/2024 5:25:34 PM: Результаты выборки
Номер заказа: 510272018, район: Юг, время дсотавки: 2024-10-24 21:16:06, вес: 16.97
I10/25/2024 5:25:46 PM: Результаты выборки
Номер заказа: 180661913, район: Юг, время дсотавки: 2024-10-24 22:22:58, вес: 29.72
Номер заказа: 594929310, район: Юг, время дсотавки: 2024-10-24 22:07:01, вес: 37.77
Номер заказа: 624606239, район: Юг, время дсотавки: 2024-10-24 22:14:43, вес: 21.84
Номер заказа: 880155520, район: Юг, время дсотавки: 2024-10-24 22:05:06, вес: 16.57
Номер заказа: 683786758, район: Юг, время дсотавки: 2024-10-24 22:15:38, вес: 35.99
Номер заказа: 668155193, район: Юг, время дсотавки: 2024-10-24 22:08:39, вес: 31.67
Номер заказа: 316357089, район: Юг, время дсотавки: 2024-10-24 22:23:01, вес: 39.38
Номер заказа: 519854293, район: Юг, время дсотавки: 2024-10-24 22:14:36, вес: 50.47
I10/25/2024 5:26:16 PM: Результаты выборки
I10/25/2024 5:26:25 PM: Результаты выборки
I10/25/2024 6:15:37 PM: Результаты выборки
Номер заказа: 847594767, район: Центр, время дсотавки: 2024-10-24 22:04:16, вес: 8.88
Номер заказа: 969604975, район: Центр, время дсотавки: 2024-10-24 22:00:20, вес: 96.36
Номер заказа: 660555195, район: Центр, время дсотавки: 2024-10-24 22:17:12, вес: 18.7
Номер заказа: 723923064, район: Центр, время дсотавки: 2024-10-24 22:29:20, вес: 5.36
Номер заказа: 324668882, район: Центр, время дсотавки: 2024-10-24 22:29:49, вес: 11.85
Номер заказа: 552597349, район: Центр, время дсотавки: 2024-10-24 22:05:48, вес: 80.84
Номер заказа: 640166182, район: Центр, время дсотавки: 2024-10-24 22:00:08, вес: 60.92
Номер заказа: 865688843, район: Центр, время дсотавки: 2024-10-24 22:28:51, вес: 25.74
Номер заказа: 368231638, район: Центр, время дсотавки: 2024-10-24 22:11:04, вес: 48.66
Номер заказа: 762501037, район: Центр, время дсотавки: 2024-10-24 22:01:54, вес: 41.34
Номер заказа: 517313124, район: Центр, время дсотавки: 2024-10-24 22:07:03, вес: 93.04
Номер заказа: 431980347, район: Центр, время дсотавки: 2024-10-24 22:04:28, вес: 14.36
Номер заказа: 929104584, район: Центр, время дсотавки: 2024-10-24 22:01:10, вес: 95.42
Номер заказа: 710252233, район: Центр, время дсотавки: 2024-10-24 22:02:14, вес: 62.41
Номер заказа: 499576850, район: Центр, время дсотавки: 2024-10-24 22:06:37, вес: 6.22
Номер заказа: 934361796, район: Центр, время дсотавки: 2024-10-24 22:14:20, вес: 97.12
Номер заказа: 586241030, район: Центр, время дсотавки: 2024-10-24 22:19:28, вес: 86.54
Номер заказа: 511325337, район: Центр, время дсотавки: 2024-10-24 22:07:20, вес: 91.4
Номер заказа: 797147639, район: Центр, время дсотавки: 2024-10-24 22:18:11, вес: 18.62
Номер заказа: 537273446, район: Центр, время дсотавки: 2024-10-24 22:22:17, вес: 73.66
Номер заказа: 779681475, район: Центр, время дсотавки: 2024-10-24 22:22:48, вес: 78.41
Номер заказа: 874770413, район: Центр, время дсотавки: 2024-10-24 22:13:02, вес: 8.04
Номер заказа: 888848741, район: Центр, время дсотавки: 2024-10-24 22:01:56, вес: 71.43
Номер заказа: 159353588, район: Центр, время дсотавки: 2024-10-24 22:23:53, вес: 47.25
Номер заказа: 949701409, район: Центр, время дсотавки: 2024-10-24 22:02:02, вес: 74.05
Номер заказа: 225168016, район: Центр, время дсотавки: 2024-10-24 22:27:42, вес: 74.46
Номер заказа: 956011822, район: Центр, время дсотавки: 2024-10-24 22:07:38, вес: 36.65
Номер заказа: 196228254, район: Центр, время дсотавки: 2024-10-24 22:28:31, вес: 43.77
Номер заказа: 374204098, район: Центр, время дсотавки: 2024-10-24 22:27:26, вес: 22.95
Номер заказа: 657535080, район: Центр, время дсотавки: 2024-10-24 22:01:23, вес: 93.85
Номер заказа: 588764363, район: Центр, время дсотавки: 2024-10-24 22:11:38, вес: 74.12
Номер заказа: 461348763, район: Центр, время дсотавки: 2024-10-24 22:27:08, вес: 4.11
Номер заказа: 352283316, район: Центр, время дсотавки: 2024-10-24 22:09:24, вес: 15.26
Номер заказа: 525310371, район: Центр, время дсотавки: 2024-10-24 22:22:01, вес: 44.14
Номер заказа: 398718239, район: Центр, время дсотавки: 2024-10-24 22:19:55, вес: 54.8
Номер заказа: 895149108, район: Центр, время дсотавки: 2024-10-24 22:00:04, вес: 61.91
Номер заказа: 722192571, район: Центр, время дсотавки: 2024-10-24 22:05:21, вес: 18.15
Номер заказа: 576738521, район: Центр, время дсотавки: 2024-10-24 22:03:46, вес: 47.72
Номер заказа: 293192265, район: Центр, время дсотавки: 2024-10-24 22:21:45, вес: 0.83
Номер заказа: 809390747, район: Центр, время дсотавки: 2024-10-24 22:27:21, вес: 13.94
Номер заказа: 125982048, район: Центр, время дсотавки: 2024-10-24 22:06:13, вес: 41.88
Номер заказа: 497921473, район: Центр, время дсотавки: 2024-10-24 22:19:45, вес: 7.44
Номер заказа: 953883162, район: Центр, время дсотавки: 2024-10-24 22:08:32, вес: 63.07
Номер заказа: 535648335, район: Центр, время дсотавки: 2024-10-24 22:25:27, вес: 36.46
Номер заказа: 356132996, район: Центр, время дсотавки: 2024-10-24 22:02:46, вес: 89.01
Номер заказа: 641566451, район: Центр, время дсотавки: 2024-10-24 22:11:21, вес: 52.22
Номер заказа: 963838930, район: Центр, время дсотавки: 2024-10-24 22:08:00, вес: 19.88
Номер заказа: 459443361, район: Центр, время дсотавки: 2024-10-24 22:09:20, вес: 36.95
Номер заказа: 303257056, район: Центр, время дсотавки: 2024-10-24 22:02:28, вес: 24.28
Номер заказа: 219618005, район: Центр, время дсотавки: 2024-10-24 22:27:34, вес: 95.03
Номер заказа: 651487070, район: Центр, время дсотавки: 2024-10-24 22:23:28, вес: 49.43
Номер заказа: 121934437, район: Центр, время дсотавки: 2024-10-24 22:24:15, вес: 3.91
Номер заказа: 549314524, район: Центр, время дсотавки: 2024-10-24 22:29:32, вес: 80.72
I10/25/2024 6:16:39 PM: Результаты выборки
Номер заказа: 151897439, район: Центр, время дсотавки: 2024-10-24 23:00:44, вес: 78.85
Номер заказа: 216939705, район: Центр, время дсотавки: 2024-10-24 23:14:50, вес: 34.78
Номер заказа: 304419725, район: Центр, время дсотавки: 2024-10-24 23:15:38, вес: 26.11
Номер заказа: 204761724, район: Центр, время дсотавки: 2024-10-24 23:11:22, вес: 80.51
Номер заказа: 374859427, район: Центр, время дсотавки: 2024-10-24 23:08:39, вес: 26
Номер заказа: 158299923, район: Центр, время дсотавки: 2024-10-24 23:05:04, вес: 44.39
Номер заказа: 173360903, район: Центр, время дсотавки: 2024-10-24 23:15:20, вес: 18.68
Номер заказа: 114853827, район: Центр, время дсотавки: 2024-10-24 23:27:52, вес: 58.5
Номер заказа: 477150957, район: Центр, время дсотавки: 2024-10-24 23:15:54, вес: 88.13
Номер заказа: 935215145, район: Центр, время дсотавки: 2024-10-24 23:05:52, вес: 75.34
Номер заказа: 648292523, район: Центр, время дсотавки: 2024-10-24 23:17:33, вес: 2.09
Номер заказа: 745272260, район: Центр, время дсотавки: 2024-10-24 23:08:20, вес: 75.63
Номер заказа: 570768605, район: Центр, время дсотавки: 2024-10-24 23:25:15, вес: 64.58
Номер заказа: 600124558, район: Центр, время дсотавки: 2024-10-24 23:02:22, вес: 81.63
Номер заказа: 170989475, район: Центр, время дсотавки: 2024-10-24 23:07:20, вес: 30.21
Номер заказа: 466750522, район: Центр, время дсотавки: 2024-10-24 23:26:20, вес: 69.79
Номер заказа: 570915286, район: Центр, время дсотавки: 2024-10-24 23:18:08, вес: 87.65
Номер заказа: 527650728, район: Центр, время дсотавки: 2024-10-24 23:13:09, вес: 40.64
Номер заказа: 942784996, район: Центр, время дсотавки: 2024-10-24 23:12:29, вес: 13.68
